Gene_name	mRNA_peak_zone	mRNA_center_of_mass_0_1_scaled	Proteim_coefficient_of_variation_mean	Proteim_coefficient_of_variation_median
Chmp5	4	0.513150684931507	0.97767090063074	1
Chmp6	1	0.478072289156627	0.19759622281081	0.186046570908044
Chordc1	1	0.376363636363636	0.706916643283784	0.747835129778683
Chp1	6	0.544031830238727	0.254370096013413	0.262763028448937
Chp2	6	0.501639344262295	0.201376668116367	0.159727807918809
Chpt1	1	0.302912621359223	0.307726703441392	0.0941023763533478
Chtop	1	0.374863387978142	0.973205080756888	1
Ciapin1	4	0.425	0.615152044230498	0.630656359612823
Cib1	3	0.494099051633298	1	1
Cir1	6	0.550877192982456	0.144979739788594	0.121083235579982
Cisd1	1	0.329206963249516	0.159092280499343	0.14726290906148
Cisd2	1	0.36986301369863	0.221045365582402	0.212120840639014
Cisd3	1	0.284571428571429	0.543076426760633	0.509554071566859
Ckap5	1	0.3125	0.519061087586204	0.369650725134983
Ckb	2	0.340959767329132	0.224949904330586	0.22116595224004
Ckmt1	2	0.355616438356164	0.214158694158052	0.217915270378824
Clca4a	6	0.955641675361455	0.306701585083439	0.294200093806081
Clcc1	1	0.325	0.97767090063074	1
Clcn2	5	0.496703296703297	0.270428760161492	0.289645151067803
Cldn15	2	0.4435124508519	0.356715817349047	0.355251869522079
Cldn3	6	0.502042755344418	0.107907594366913	0.119085556957768
Cldn4	6	0.976958525345622	0.819330352472393	0.819330352472393
Cldn7	6	0.637714121203397	0.530337091350728	0.460030734836996
Clec2h	3	0.436505974454058	0.347242911987355	0.342994818303323
Clic1	6	0.738117870722434	0.244032812543486	0.239970686165896
Clic5	2	0.358075148319051	0.120183262785847	0.0657881818866635
Clic6	1	0.241666666666667	0.955341801261479	1
Clint1	1	0.497142857142857	0.148708785374528	0.0905720998283083
Clip1	6	0.482608695652174	1	1
Clip2	2	0.398319327731092	0.768334035263839	0.629246675333694
Clns1a	3	0.321212121212121	0.933012701892219	0.933012701892219
Clpb	2	0.31875	0.378022446445395	0.296786652837685
Clpp	1	0.333928571428571	0.114483887898187	0.0983017211808056
Clptm1	1	0.4265664160401	0.0628142862174068	0.0679965428780241
Clptm1l	1	0.451655629139073	0.138412074135982	0.140643478692786
Clpx	3	0.458394160583942	0.108213110638148	0.114469820468394
Clrn3	6	0.61304347826087	0.537488977450869	0.387744529553793
Clta	1	0.39747191011236	0.34168469617477	0.356539818623096
Cltb	3	0.482621082621083	0.244528675646378	0.252098035390389
Cltc	2	0.430486358244365	0.125373994133132	0.136899653652411
Cluh	1	0.177900552486188	0.191825939442632	0.167065688364417
Clybl	1	0.245454545454545	0.242671678698802	0.214768405972199
Cmas	1	0.35521472392638	0.180771928042492	0.15909521699177
Cmbl	2	0.305054945054945	0.273812783995521	0.297248594267154
Cmc1	1	0.227536231884058	0.552367259962785	0.499418115828582
Cmpk1	2	0.500900047370914	0.102437518358107	0.0998408624616744
Cmpk2	4	0.464454976303318	0.403506109298535	0.361493929801184
Cmtm6	2	0.389285714285714	0.731320477468089	0.729610714699885
Cndp2	3	0.446285172304774	0.0933693877688405	0.0885358009067954
Cnn3	1	0.457142857142857	0.97767090063074	1
Cnnm4	1	0.526946107784431	0.135198455870048	0.141801303201579
Cnot1	4	0.471391076115486	0.383411276832631	0.381479912532776
Cnp	1	0.224390243902439	0.266288727776975	0.278038905410743
Cnpy2	1	0.360160965794769	0.176551001377293	0.163481741196862
Cnpy3	3	0.258333333333333	0.142138414213364	0.156597728173222
Cnr1	3	0.4	0.860851382295939	0.933012701892219
Coa7	1	0.297297297297297	0.23727520864829	0.194819811881745
Coasy	2	0.28421052631579	0.97767090063074	1
Cobl	4	0.483931947069943	0.0957899789085123	0.10156648561984
Col4a3bp	1	0.48785046728972	0.865623858842736	0.866025403784439
Colgalt1	1	0.255555555555556	1	1
Commd10	1	0.36	1	1
Comtd1	1	0.48	0.159046555431829	0.141279388624884
Copa	2	0.504532304725169	0.124977400597537	0.119611904678085
Copb1	3	0.509055118110236	0.106331205698559	0.0914319718940539
Copb2	3	0.49701230228471	0.0991438890259135	0.0885982876002549
Cope	1	0.452428964252979	0.23469246012705	0.233660758385049
Copg1	5	0.523529411764706	0.157668950974144	0.168845228146912
Copg2	1	0.39016393442623	0.19793877848323	0.188072530439645
Cops3	1	0.350684931506849	0.255890551425657	0.21452448112488
Cops4	1	0.407017543859649	0.266598551855582	0.255811255895108
Cops5	1	0.330985915492958	0.183269544318214	0.10299417013427
Cops7a	1	0.370212765957447	0.598353881784709	0.600341073564496
Cops8	1	0.404761904761905	0.582568309370806	0.474877896901288
Copz1	3	0.461386138613861	0.297576714656634	0.272773330019458
Coq4	3	0.435616438356164	0.97767090063074	1
Coq5	1	0.250485436893204	0.453392039084921	0.438188903946897
Coq6	1	0.216216216216216	0.769970460211666	0.729844779370549
Coq9	1	0.337440758293839	0.161514587656192	0.151748484540802
Coro1b	3	0.493740902474527	0.138990582573777	0.135831624363507
Coro1c	5	0.505147864184009	0.151862807258781	0.151108630190541
Coro2a	1	0.389578713968958	0.198227086665855	0.171690609292707
Coro7	1	0.372727272727273	0.101679945639564	0.0824391977012969
Cotl1	1	0.134579439252336	0.14233904030433	0.130180874714829
Cox11	1	0.376595744680851	0.560126949071338	0.460874952915032
Cox17	2	0.423896409652737	0.629961776223388	0.683391648161916
Cox20	1	0.274567901234568	0.617964755107399	0.574477868234059
Cox5a	1	0.327899561578318	0.209907244967214	0.232116072588752
Cox5b	1	0.360956425987101	0.291015615601607	0.2713401121109
Cox6b1	1	0.3545121797299	0.206315390461147	0.213524875326494
Cox6c	1	0.325812407680945	0.263777249622153	0.214868072677033
Cox7a2	2	0.331472208312469	0.955341801261479	1
Cox7a2l	1	0.286197183098591	0.750051037227723	0.587195031657776
Cox7c	1	0.324892297993065	0.512912036929053	0.447434514838357
Cpne3	1	0.338620689655172	0.13833512183921	0.149646837463819
Cpox	1	0.263291139240506	0.973205080756888	1
Cpped1	1	0.308597285067873	0.207911093368268	0.16806699143077
Cps1	1	0.200430107526882	0.0730863210060698	0.0666150120677505
Cpsf1	3	0.4	0.701395599405	0.660850300140193
Cpsf3	1	0.357142857142857	0.712603607989253	0.623663768025788
Cpsf6	4	0.387596899224806	0.245936631583763	0.195115979470832
Cpt1a	1	0.289592760180995	0.189835613929295	0.204699090610832
Cpt2	2	0.417457305502846	0.116546833963353	0.0856322981008997
Cr1l	1	0.408547008547009	0.309397880867854	0.271300735898656
Crat	3	0.445574387947269	0.207570997161283	0.136780556751567
Creb1	1	0.492753623188406	0.196086465560302	0.19314789173243
Creb3l3	6	0.700774393391843	1	1
Crip1	6	0.607596640180239	0.156556278655285	0.16110106834928
Crk	3	0.496825396825397	0.242213125473436	0.17880674040199
Crkl	3	0.563636363636364	0.661555700322893	0.621873948402462
Crocc	1	0.1	0.362389837281178	0.345715719665535
Crot	3	0.437796976241901	0.204880341271673	0.196258812888998
Cryl1	2	0.388467874794069	0.174945529107178	0.139721469658819
Cs	3	0.508898614150255	0.0865376186333223	0.0691055101809587
Csde1	1	0.42572741194487	0.294558708184441	0.173196483321099
Cse1l	1	0.271428571428571	0.894631520328991	0.981577640989262
Csk	2	0.437751004016064	1	1
Csnk1a1	5	0.552199074074074	0.267874898633303	0.207799636089149
Csnk1d	4	0.558774373259053	0.570259210901009	0.580352001606667
Csnk2a1	3	0.415471698113207	0.373362573886936	0.281023435024251
Csnk2b	1	0.4376	0.359507897610984	0.346073843146695
Cst3	1	0.264150943396226	0.933012701892219	0.933012701892219
Cstb	1	0.413361169102296	1	1
Cstf2	1	0.335483870967742	0.251386862305648	0.262510559222056
Cstf3	4	0.498591549295775	1	1
Ctbp1	1	0.350741839762611	0.292091940147002	0.290879211247223
Ctcf	3	0.488770053475936	0.240098084742922	0.248032974960757
Cth	1	0.42734375	0.229292309260165	0.185852214049165
Ctnna1	6	0.613825983313468	0.111642038008253	0.0768253316636834
Ctnnb1	6	0.531508213041314	0.137621240567244	0.135169040930781
Ctnnbl1	3	0.422727272727273	0.95534180126148	1
Ctnnd1	2	0.480887011615628	0.0841525532659213	0.0798813655147322
Ctsa	3	0.405970149253731	0.543526643133982	0.366410395172441
Ctsb	2	0.427749576988156	0.180907934403439	0.184084850778442
Ctsd	4	0.46873786407767	0.149105318485222	0.145093905283558
Ctsh	1	0.141747572815534	0.728617920083456	0.652047967665925
Ctss	2	0.491034482758621	0.19477824738765	0.188344040947104
Ctsz	2	0.445598591549296	0.0877816870972952	0.074484280177301
Cttn	6	0.548639455782313	0.0936364218713715	0.087547404879955
Cubn	3	0.427951807228916	1	1
Cul1	5	0.484873949579832	0.743189536131507	0.682415267275041
Cul3	2	0.426865671641791	1	1
Cwc15	2	0.4675	0.316285681802186	0.374524139193556
Cxadr	6	0.597540983606557	0.085806099378046	0.0932750951890094
Cyb5a	2	0.299562554680665	0.0771984220622439	0.0581008725467386
Cyb5b	2	0.359104606112785	0.169794107995626	0.135101945346013
Cyb5r1	2	0.557142857142857	1	1
Cyb5r3	2	0.441931684334511	0.0719512638633755	0.0505173614724811
Cyc1	1	0.302152641878669	0.175969430525677	0.180851096551696
Cycs	3	0.491560759674425	0.208614391471854	0.163942207214394
Cyfip1	2	0.466968325791855	0.114257019650685	0.124942823676564
Cyp27a1	4	0.507594936708861	0.431136695056194	0.426221166106641
Cyp2b10	2	0.469197795468463	0.0820779462573342	0.067235940931182
Cyp2c40	3	0.5	0.152248286563056	0.109717190401223
Cyp2c55	2	0.307894736842105	0.568200904423256	0.496174418386085
Cyp2d26	5	0.56531660011409	0.151699128240344	0.142105398581063
Cyp2s1	1	0.311111111111111	0.261756467259032	0.263351675132644
Cyp3a11	4	0.583840917233966	0.274291869901628	0.262184015531452
Cyp3a13	5	0.6517277486911	0.106140221403857	0.0937000549827845
Cyp3a25	3	0.424168694241687	0.318472650907587	0.225948735657264
Cyp4b1	4	0.546524064171123	0.335374024994145	0.225365929382621
Cyp4f14	2	0.448760330578512	0.278915420506481	0.249285657639328
Cystm1	6	0.549742617176917	0.187579204058459	0.102260346554791
D10Jhu81e	1	0.23030303030303	0.258932561173161	0.254071216576489
Daam1	6	0.729251700680272	0.871759891579702	1
Dab1	2	0.402024291497976	0.318503976754429	0.225389870675003
Dad1	1	0.381319399085565	0.145220710730857	0.134328502996231
Dap3	1	0.255913978494624	0.215327617811966	0.175176843365857
Dapk3	5	0.523371647509579	0.324992320137667	0.260142921057316
Dars	1	0.294285714285714	0.229848895707863	0.243232099966265
Dars2	1	0.3	0.533280549026518	0.475799620172549
Dazap1	1	0.338317757009346	0.97767090063074	1
Dbi	1	0.35423855963991	0.200346061193578	0.15821109464104
Dbnl	1	0.430894308943089	0.11410361224365	0.121837482952346
Dbt	1	0.2	0.124066276729871	0.0915915034907119
Dcaf8	1	0.359349593495935	0.724769672031604	0.656207792320352
Dcps	6	0.523809523809524	0.209904220011851	0.128351589834362
Dctn1	2	0.508433734939759	0.118309028652975	0.111738323398648
Dctn2	2	0.453562653562654	0.121032247959367	0.109381019874121
Dctn4	4	0.475714285714286	0.178176048312269	0.178622535864871
Dctn5	4	0.481034482758621	0.506429577872338	0.362241039795447
Dcxr	2	0.348076923076923	0.340120713387216	0.281020524577764
Ddb1	2	0.443115942028986	0.18655209351881	0.172922347821659
Ddc	2	0.350446998722861	0.21571508285369	0.168430692280016
Ddhd2	4	0.437082066869301	0.355561372001247	0.308992143325568
Ddi2	1	0.377730192719486	0.208748723499017	0.181176870929914
Ddrgk1	1	0.32158273381295	0.329850366374108	0.337529901604393
Ddt	2	0.374386920980926	0.154717722400521	0.164985192488736
Ddx1	1	0.308571428571429	0.12938583560853	0.118414548038006
Ddx17	3	0.487692307692308	0.0959922979799241	0.0933785736367493
Ddx18	1	0.245714285714286	0.96650635094611	1
Ddx19a	1	0.425806451612903	0.194379182384218	0.183183949276594
Ddx21	1	0.22962962962963	0.236902332735453	0.227754067087907
Ddx39b	1	0.340740740740741	0.146870823556965	0.132329386168439
Ddx3x	5	0.54796633941094	0.590799495210932	0.594389934038593
Ddx42	2	0.389795918367347	0.293028903604442	0.257136387674024
Ddx46	1	0.336448598130841	0.625708232730606	0.554758439726179
Ddx5	6	0.574615947329919	0.0614680447383489	0.0586204961189568
Ddx58	3	0.510179640718563	0.369861446497468	0.316230777650208
Ddx6	2	0.480132450331126	0.231815690611045	0.220247442145963
Decr1	2	0.321159420289855	0.115465345509832	0.111212710056629
Decr2	3	0.38	0.182670308619803	0.147291305627031
Defa-rs1	2	0.458128078817734	0.309417338769277	0.328675835052926
Defa17	2	0.298064516129032	0.973205080756888	1
Defa20	2	0.303225806451613	0.350405981841622	0.374106126354972
Defa23	2	0.42	0.97767090063074	1
Defa24	2	0.387813021702838	0.549167642013597	0.558722980550169
Dek	1	0.4	0.351895245678336	0.322283992438993
Denr	1	0.32	0.284195794600735	0.338768596216446
Dera	3	0.41839530332681	0.283879323329112	0.265997492472691
Derl2	1	0.429596412556054	0.717984576166586	0.634168970924072
Dfna5	6	0.685057471264368	0.778334113532955	0.782524649261687
Dgat1	2	0.499681138091734	0.0602592754265943	0.0582907455538676
Dgat2	6	0.649213483146067	1	1
Dgka	5	0.59656652360515	0.803126450893738	0.732645569174333
Dgkq	4	0.52318339100346	0.362831918219631	0.28388704467802
Dhcr24	5	0.507692307692308	0.223726560160183	0.19228418262067
Dhcr7	1	0.279012345679012	0.116047968972096	0.123782347189874
Dhfr	2	0.404081632653061	0.413236761488133	0.407403665336351
Dhodh	6	0.828571428571429	0.413533659684145	0.411658650714661
Dhrs1	3	0.480093676814988	0.0740512961229132	0.0820255963173601
Dhrs11	1	0.383170947741364	0.143261250588478	0.145396354256737
Dhrs4	2	0.331447587354409	0.154089469431091	0.15183808563061
Dhrs7b	5	0.569230769230769	0.181819067779019	0.16303331491506
Dhx15	1	0.423469387755102	0.126487562784889	0.136365411090148
Dhx9	1	0.336	0.0844871505340716	0.0677466711239765
Diaph1	6	0.603587443946188	0.229957943528981	0.195864327676151
Dirc2	6	0.570552147239264	1	1
Dixdc1	1	0.4	1	1
Dkc1	1	0.2	0.18683287054409	0.167927811524726
Dlat	1	0.226865671641791	0.0835038949883303	0.0817339640003464
Dld	1	0.317177914110429	0.0721681288247471	0.0773091968459556
Dlg1	2	0.341747572815534	0.234922640622966	0.208249738933483
Dlg3	3	0.50042194092827	0.748344653395015	0.754566831601658
Dlst	3	0.377426160337553	0.062464624939548	0.0651308455195388
Dmbt1	1	0.129	0.478060352847623	0.456637670796307
Dnaja1	3	0.416722408026756	0.132155369580147	0.0865311188970255
Dnaja2	1	0.413309352517986	0.270087964723022	0.27121701966761
Dnaja3	1	0.283809523809524	0.119176737350448	0.138163758541596
Dnajb1	6	0.586781609195402	0.649197282145824	0.639561233211293
Dnajb11	1	0.295737704918033	0.0930983852070347	0.0856813246978341
Dnajb12	2	0.489655172413793	0.263292983012036	0.248858052506919
Dnajb6	3	0.46472602739726	0.216405461537386	0.16203119399487
Dnajc11	1	0.321649484536083	0.167079829095667	0.1550191070202
Dnajc19	1	0.310402219140083	0.470713855914863	0.430798884901488
Dnajc3	2	0.3533527696793	0.0886353274806777	0.0760008312145073
Dnajc7	1	0.365895953757225	0.166207015724474	0.142254665909469
Dnajc9	1	0.307142857142857	0.65956563566422	0.603820012241536
Dnase1	3	0.45626102292769	1	1
Dnm1	3	0.306349206349206	0.358588980134239	0.302168871838246
Dnm1l	1	0.410909090909091	0.63181305975727	0.624008431544437
Dnm2	6	0.579009900990099	0.208573112649138	0.117092023827395
Dnpep	6	0.826368952684742	0.181704742078124	0.171069362408244
Dnttip2	1	0.328571428571429	0.97767090063074	1
Dock1	1	0.315384615384615	0.770636945804665	0.728482932423484
Dock8	2	0.416326530612245	1	1
Dopey2	5	0.523809523809524	0.523408582150009	0.423965792529984
Dpm3	1	0.312179487179487	0.513399299255572	0.580798100155381
Dpp3	1	0.396703296703297	0.126656651811043	0.112292858785127
Dpp4	3	0.464760914760915	0.151342787901088	0.0888658617434778
Dpyd	2	0.375535168195719	0.174126590630664	0.192798092634359
Dqx1	3	0.519587628865979	0.973205080756888	1
Drg1	2	0.413861386138614	0.236026215737569	0.241675079330063
Dsc2	6	0.632445520581114	0.183385039742433	0.131538686261796
Dsg2	6	0.659847660500544	0.109309051316859	0.0860394485675905
Dsp	6	0.65717746820109	0.242252066156497	0.23552489199062
Dstn	6	0.608015620182921	0.10058594071575	0.0966066800266843
Dtx3l	3	0.447749510763209	0.123999975649157	0.116358208849339
Dync1h1	4	0.478181818181818	0.0848225005196081	0.0720981734020956
Dync1i2	4	0.518588235294118	0.146880790144319	0.158558533295682
Dync1li1	3	0.477887788778878	0.158965916877195	0.138298897513297
Dync1li2	2	0.488888888888889	0.633928589273959	0.716945685600536
Dynll1	1	0.32	0.449845482183301	0.456937905965349
Dynll2	1	0.418074074074074	0.382518747950941	0.325061892130079
Dynlrb1	1	0.368740955137482	0.907341411476282	1
Ebp	2	0.339271255060729	0.74384568564857	0.719870987958518
Ech1	2	0.379656538969617	0.15166885147234	0.15087876857449
Echdc1	1	0.395121951219512	0.338172414929273	0.303819957259815
Echs1	1	0.359638554216867	0.0462335125794361	0.0547871022371242
Eci1	1	0.264	0.0818755666129975	0.084180005996927
Eci2	1	0.24393063583815	0.235303655115002	0.0792874547068274
Eci3	3	0.394982078853047	0.279729503886875	0.147469418235085
Ecsit	1	0.286075949367089	0.97767090063074	1
Edc4	1	0.391666666666667	1	1
Edf1	3	0.517412935323383	0.664223766237112	0.581624182946444
Eea1	1	0.482051282051282	0.651421162807614	0.6134781303999
Eef1a1	1	0.194827870202603	0.0855215625198205	0.0891506987535932
Eef1d	1	0.304303797468354	0.144602905524808	0.135063405727126
Eef1g	1	0.221108580106302	0.0989027169261625	0.10027851880258
Eef2	1	0.306814580031696	0.0637439588958385	0.0632077118285537
Eefsec	1	0.371428571428571	0.97767090063074	1
Efhd2	6	0.657663628831814	0.0867026919000096	0.0983601183097691
Efnb1	5	0.518934911242604	0.291563578549952	0.208769189337504
Eftud1	5	0.613445378151261	0.189087898269501	0.196754477988303
Eftud2	1	0.326315789473684	0.150545348728742	0.0971278144263486
Ehbp1l1	6	0.661469933184855	0.809941017763653	0.866025403784439
Ehd1	6	0.559860788863109	0.144424722198643	0.151759922602069
Ehd4	6	0.567088607594937	0.21489404019815	0.21567642493145
Ehhadh	3	0.390368271954674	0.104939852979029	0.0638468706955579
Eif1	6	0.493061916878711	0.375385401834345	0.360716049434702
Eif1a	3	0.357632398753894	0.102823391516304	0.0853093482287675
Eif2a	1	0.34965034965035	0.148983372956664	0.163356373421902
Eif2ak2	3	0.49171974522293	0.451107144173352	0.442328323237823
Eif2b4	3	0.365909090909091	0.866025403784438	0.866025403784438
Eif2b5	4	0.428915662650602	1	1
Eif2s1	1	0.307865168539326	0.0842392824680274	0.0760132298417173
Eif2s2	1	0.327676767676768	0.119921825711291	0.080400382965464
Eif2s3x	1	0.2975	0.175758594255825	0.177045873762879
Eif2s3y	6	0.504812834224599	0.190014550783266	0.183381865286277
Eif3a	1	0.309375	0.101047334273346	0.0738019622710331
Eif3b	1	0.26524064171123	0.160033703014956	0.148617974205091
Eif3c	1	0.372388059701492	0.101673883387567	0.084161967940739
Eif3d	1	0.407407407407407	0.116768421433242	0.103714283246571
Eif3e	1	0.200711743772242	0.125009105267423	0.121052231908379
Eif3f	1	0.226578073089701	0.221384870672668	0.257773657214142
Eif3g	1	0.323699421965318	0.102052689182789	0.0949070629125588
Eif3h	1	0.251111111111111	0.233843807523648	0.213887618664773
Eif3i	1	0.134387351778656	0.151273775192046	0.144202120521291
Eif3j1	1	0.408695652173913	0.382844025216677	0.353504120343684
Eif3k	1	0.256818181818182	0.16066502463495	0.1435299493237
Eif3l	1	0.282558139534884	0.0886207318571111	0.0893814554490817
Eif3m	1	0.246060606060606	0.548924751995201	0.476630772505856
Eif4a1	1	0.433021077283372	0.108765554884802	0.0951920904634293
Eif4a2	3	0.479282511210762	0.243152390169936	0.185611471533807
Eif4b	1	0.371490280777538	0.162619759225745	0.178874549477822
Eif4e	1	0.470287539936102	0.422828753636674	0.380017386623078
Eif4g1	1	0.379349904397705	0.0960684214211173	0.0930896063607385
Eif4g2	1	0.478621432417878	0.20871417266949	0.175639130656903
Eif4h	4	0.52306101344364	0.164906966261008	0.140398723992505
Eif5	1	0.441086186540732	0.170227300619455	0.185331171963646
Eif5a	1	0.288545688545689	0.155459964561074	0.131008816354375
Eif5b	1	0.381362007168459	0.337266298689325	0.310161448929208
Eif6	6	0.644316959483686	0.128626699539747	0.130059373848736
Elac2	1	0.276923076923077	0.79171410611111	0.737453856848776
Elavl1	1	0.345593869731801	0.153955283357328	0.15415513041048
Elmo3	6	0.565753424657534	0.96650635094611	1
Elmod2	2	0.444230769230769	1	1
Elovl1	3	0.477446808510638	0.532684990157981	0.583555173982514
Emc1	1	0.38	0.157435874749685	0.146198719138662
Emc10	1	0.353676470588235	0.605318462367123	0.589823556157089
Emc2	2	0.319266055045872	0.147988243372777	0.092135115641176
Emc3	1	0.425142857142857	0.195948964337088	0.156178800682959
Emc4	1	0.3104	0.186875229198457	0.173446378362763
Emd	1	0.488095238095238	0.757625981188534	0.709919857138365
Eml4	1	0.28421052631579	0.103881530780729	0.0806963365759533
Endod1	3	0.415789473684211	0.389869420623161	0.477465341045915
Endog	1	0.432575757575758	0.18627995978772	0.165774262251679
Engase	1	0.25	0.973205080756888	1
Eno1	2	0.435810810810811	0.1158244078639	0.115448533997298
Enpep	2	0.376062128825948	0.122597485018944	0.099173314430434
Enpp3	6	0.843696027633852	0.119051200212738	0.112625876310133
Entpd5	2	0.409398496240601	0.268533723010497	0.271877000106487
Entpd7	3	0.503267973856209	0.291679047147268	0.257701081896159
Entpd8	6	0.7271702367531	0.802480866712519	0.804534856488663
Epb41	1	0.380555555555556	0.210829454967711	0.202054396703013
Epb41l2	3	0.444444444444444	0.22402782465071	0.22465752256514
Epb41l3	2	0.379679144385027	0.0633546689122947	0.0589214541591939
Epb41l4b	4	0.489520078354554	0.482731361504372	0.508509211247755
Epcam	6	0.645689655172414	0.211223214584893	0.227125634761652
Ephx2	4	0.517389770723104	0.136125158525641	0.127002488995705
Epn1	2	0.444406490179334	0.391096841059991	0.262805717834332
Eprs	1	0.215625	0.0871979145117333	0.083766309611618
Eps15	2	0.415686274509804	0.258834494988376	0.20939554235151
Eps15l1	2	0.45	0.757884505013063	0.607036130458534
Eps8	6	0.646945337620579	0.222900068178692	0.177789939440683
Eps8l2	6	0.619711236660389	0.276288669941109	0.262405139137393
Eps8l3	6	0.755709662505779	0.233379961078174	0.201585571290351
Ept1	6	0.69958071278826	0.467566102960276	0.371018674086884
Erap1	1	0.28695652173913	0.0860103696886072	0.0819299804060227
Erbb2	3	0.500983606557377	0.71049035946112	0.617284347906692
Erbb2ip	6	0.571100917431193	0.350032012085106	0.260678615252889
Erbb3	4	0.56	0.265492518141513	0.234334622543336
Ergic3	1	0.392432432432432	0.393720355490596	0.375310102221482
Erh	1	0.241698841698842	0.28995071039555	0.308180518048647
Erlin1	2	0.445569620253165	0.196272517788502	0.195878489025114
Erlin2	2	0.421660649819494	0.103609952532432	0.10265520148691
Ermp1	1	0.328440366972477	0.739458325307012	0.709668035071504
Ero1l	2	0.475647668393782	0.310635168128432	0.325366341049306
Ero1lb	4	0.378461538461539	0.536934906617253	0.508769290814718
Erp29	1	0.293793103448276	0.0731229358241474	0.0689562860290191
Erp44	1	0.423529411764706	0.151632521409467	0.141558304930094
Esd	1	0.364985163204748	0.170794896239169	0.117807133377533
Espn	5	0.59843089921545	0.719651703155077	0.642484525415654
Esrp1	3	0.43	0.450174510523233	0.405611671157788
Esyt2	6	0.655284552845529	0.210002189718506	0.205215944024595
Etf1	1	0.354512635379061	0.10811639442629	0.101334219603941
Etfa	3	0.427959697732997	0.0889520276210912	0.0685692246242132
Etfb	1	0.408514664143803	0.0571651917606927	0.0465255371653989
Etfdh	2	0.359782608695652	0.0942247457043078	0.0960627942389123
Ewsr1	1	0.321649484536082	0.135411232530684	0.128541756844883
Exoc1	5	0.456338028169014	1	1
Exoc3l4	3	0.418237082066869	0.160699152194222	0.117177220692969
Exoc8	3	0.391780821917808	0.507409082297236	0.59005756505433
Exosc3	3	0.483333333333333	0.866025403784439	0.866025403784439
Exosc4	1	0.374576271186441	0.476876369561859	0.469995443990565
Exosc9	2	0.275	0.339373390004599	0.396929887739197
Ezr	6	0.63180790960452	0.100402880963703	0.104368403525537
F11r	6	0.676073619631902	0.14718534881092	0.0970457617058478
Faah	2	0.325323475046211	0.299541170443919	0.291774121306756
Fabp1	2	0.335653824855629	0.129361340659656	0.11124827927873
Fabp2	2	0.465643521257241	0.1022075853754	0.119461177514971
Fabp6	1	0.0606741573033708	0.754335066495645	0.743044654566597
Faf1	4	0.483720930232558	1	1
Faf2	1	0.467307692307692	0.188375981376722	0.196563549767875
Fahd1	2	0.298433420365535	0.143574597685617	0.122860072376463
Fam114a1	6	0.59136690647482	0.792494860321138	0.807113521328768
Fam114a2	4	0.513196480938417	0.50376253244678	0.398839389138244
Fam120b	5	0.542222222222222	1	1
Fam122b	1	0.12	NaN	NaN
Fam129b	6	0.716666666666667	1	1
Fam134c	3	0.544978165938865	0.219044070824753	0.181722244029867
Fam136a	1	0.224271844660194	0.249789532300319	0.194373704044367
Fam162a	1	0.44070351758794	0.96650635094611	1
Fam175b	2	0.417808219178082	1	1
Fam20b	4	0.469322709163347	0.441758331367881	0.411513626829886
Fam210b	2	0.420512820512821	0.146634378743696	0.0871106596397767
Fam213a	2	0.416691957511381	0.194626588786262	0.127125382751536
Fam213b	2	0.384	0.329278184528593	0.319438557990039
Fam3a	6	0.58	0.543483653659483	0.358357141175722
Fam3b	6	0.631828978622328	0.204726598151709	0.192583301374334
Fam3c	2	0.502421307506053	0.11079447029695	0.109488005792468
Fam49b	2	0.453503184713376	0.318904983426751	0.341349577033289
Fam63a	4	0.453225806451613	0.813667618724375	0.866025403784439
Fam73b	2	0.39656652360515	1	1
Fam83b	6	0.84	0.318519284002258	0.319026600812223
Fam83h	6	0.666666666666667	0.179518976660588	0.170462993251089
Fam96a	1	0.307216494845361	0.738390500777917	0.801888862558902
Fam98a	2	0.378260869565217	0.566050048274707	0.421448421970129
Fam98b	1	0.182608695652174	0.284753768935478	0.288305901938216
Farp1	1	0.457142857142857	0.83430147746301	0.866025403784439
Farp2	1	0.452173913043478	0.74178813810628	0.714337159921715
Farsa	1	0.212121212121212	0.135310539038601	0.127714604751981
Farsb	1	0.161290322580645	0.181383970979033	0.136560998714897
Fas	2	0.365665236051502	0.595857912356579	0.593695084483277
Fasn	1	0.175	0.11014475041136	0.119210307207174
Fau	1	0.341211180124224	0.612651839545136	0.596490452708283
Fbl	1	0.364179104477612	0.187039090326818	0.186563922016088
Fblim1	1	0.427922077922078	0.193515482411695	0.167282731726646
Fbp1	2	0.262162162162162	0.522508785590681	0.491113556265845
Fbp2	2	0.374205967276227	0.137208352196659	0.11416689502164
Fbxo9	1	0.377914110429448	1	1
Fdx1	1	0.335231316725979	0.153725532606078	0.114765008636316
Fdxacb1	5	0.6	0.973205080756888	1
Fdxr	3	0.353333333333333	0.319630416088996	0.259939373327218
Fech	1	0.381395348837209	0.97767090063074	1
Fen1	1	0.35	0.391593878711609	0.364744890285267
Fermt1	3	0.382758620689655	0.973205080756888	1
Fgd4	3	0.527017543859649	1	1
Fhl1	6	0.88	0.973205080756888	1
Fignl1	5	0.8	1	1
Fip1l1	5	0.451063829787234	0.266010197170697	0.288761118790414
Fis1	1	0.444410646387833	0.209663648607575	0.184509661929081
Fkbp1a	3	0.406637554585153	0.161029800277907	0.122078435289471
Fkbp2	1	0.329839883551674	0.161515637583239	0.155439607941892
